Source,Target,Weight
30,14,0.44721359549995787
30,29,0.5477225575051662
30,62,0.4242640687119285
30,115,0.47434164902525683
30,388,0.39999999999999997
30,442,0.38729833462074176
30,559,0.4472135954999579
30,625,0.47434164902525683
30,703,0.40451991747794525
30,704,0.4242640687119285
30,707,0.44721359549995787
30,749,0.5070925528371099
30,835,0.40451991747794525
30,930,0.39999999999999997
31,432,0.4082482904638631
31,582,0.46291004988627577
32,1,0.4338609156373123
32,2,0.39605901719066977
32,8,0.39605901719066977
32,455,0.4387634544762784
32,456,0.420084025208403
32,459,0.5144957554275265
32,471,0.39605901719066977
32,478,0.420084025208403
32,484,0.5118906968889915
32,485,0.420084025208403
32,491,0.5636018619766345
32,492,0.5636018619766345
32,493,0.4900980294098035
32,512,0.420084025208403
32,515,0.5144957554275265
32,533,0.4036036763977875
32,542,0.420084025208403
32,560,0.39605901719066977
32,561,0.4583492485141056
32,562,0.5144957554275265
32,567,0.6859943405700353
32,568,0.5144957554275265
32,646,0.4036036763977875
32,647,0.48507125007266594
32,655,0.420084025208403
32,673,0.48507125007266594
32,686,0.4387634544762784
32,878,0.420084025208403
32,926,0.5144957554275265
33,402,0.5039526306789696
33,410,0.48112522432468824
33,688,0.40201512610368484
33,748,0.502518907629606
34,5,0.3779644730092272
34,25,1.0
34,93,0.4472135954999579
34,96,0.4082482904638631
34,104,0.5
34,319,0.7071067811865475
34,321,0.7071067811865475
34,546,0.4472135954999579
34,549,0.5
34,584,0.5773502691896258
34,588,0.3779644730092272
34,601,0.5
34,695,0.3779644730092272
34,826,0.4082482904638631
34,930,0.4472135954999579
35,20,0.6289709020331509
35,23,0.3721042037676254
35,36,0.5547001962252291
35,41,0.5262348115842176
35,46,0.5604485383178051
35,50,0.39223227027636803
35,51,0.6139406135149205
35,52,0.5547001962252291
35,54,0.47304991679126607
35,56,0.44474958999666075
35,60,0.5547001962252291
35,71,0.647150228929434
35,101,0.45291081365783836
35,344,0.3721042037676254
35,359,0.39223227027636803
35,383,0.39223227027636803
35,412,0.38461538461538464
35,564,0.41602514716892186
35,671,0.4036036763977875
35,726,0.4961389383568338
35,754,0.45291081365783836
35,781,0.4003203845127179
35,792,0.45291081365783836
35,840,0.39223227027636803
36,20,0.5039526306789696
36,23,0.44721359549995787
36,35,0.5547001962252291
36,41,0.4216370213557839
36,46,0.48112522432468824
36,50,0.5892556509887895
36,51,0.4216370213557839
36,52,0.6666666666666666
36,54,0.4974683381630909
36,59,0.6024640760767093
36,60,0.9999999999999997
36,64,0.4216370213557839
36,68,0.3849001794597505
36,69,0.3849001794597505
36,71,0.4444444444444444
36,73,0.4714045207910317
36,101,0.5443310539518174
36,102,0.4303314829119351
36,167,0.408248290463863
36,359,0.4714045207910316
36,361,0.408248290463863
36,383,0.4714045207910316
36,398,0.3849001794597505
36,402,0.3779644730092272
36,585,0.3849001794597505
36,639,0.4444444444444444
36,671,0.48507125007266594
36,678,0.3849001794597505
36,688,0.502518907629606
36,689,0.5039526306789696
36,690,0.40201512610368484
36,695,0.5039526306789696
36,708,0.4216370213557839
36,726,0.5962847939999438
36,754,0.5443310539518174
36,781,0.5773502691896258
36,792,0.5443310539518174
36,840,0.4714045207910316
36,912,0.3779644730092272
36,931,0.4444444444444444
37,38,0.6708203932499369
37,103,0.5070925528371099
37,199,0.44721359549995787
37,409,0.5962847939999438
37,771,0.4472135954999579
37,811,0.4242640687119285
37,919,0.38729833462074176
38,37,0.6708203932499369
38,103,0.5669467095138407
38,199,0.5
38,409,0.5
38,558,0.3779644730092272
38,767,0.4082482904638631
38,770,0.4082482904638631
38,811,0.4743416490252569
38,919,0.4330127018922194
39,125,0.4387634544762784
39,451,0.39605901719066977
40,161,0.5477225575051662
40,709,0.39999999999999997
41,20,0.5976143046671968
41,35,0.5262348115842176
41,36,0.4216370213557839
41,46,0.5477225575051662
41,50,0.5590169943749475
41,51,0.7
41,52,0.6324555320336759
41,54,0.5393598899705936
41,56,0.6761234037828132
41,60,0.4216370213557839
41,64,0.39999999999999997
41,71,0.5270462766947299
41,81,0.4216370213557839
41,101,0.5163977794943223
41,359,0.4472135954999579
41,361,0.38729833462074176
41,671,0.38348249442368526
41,726,0.565685424949238
41,754,0.5163977794943223
41,792,0.5163977794943223
41,840,0.5590169943749475
42,688,0.43519413988924466
43,29,0.4082482904638631
43,197,0.45226701686664544
43,839,0.5
45,46,0.4364357804719848
45,51,0.4780914437337574
46,20,0.6546536707079772
46,35,0.5604485383178051
46,36,0.48112522432468824
46,41,0.5477225575051662
46,45,0.4364357804719848
46,50,0.4082482904638631
46,51,0.7302967433402215
46,52,0.5773502691896258
46,54,0.5539117094069973
46,56,0.4629100498862758
46,60,0.48112522432468824
46,71,0.48112522432468824
46,81,0.3849001794597506
46,101,0.4714045207910318
46,359,0.408248290463863
46,726,0.5163977794943223
46,754,0.4714045207910318
46,781,0.4166666666666668
46,792,0.4714045207910318
46,801,0.40824829046386313
46,840,0.4082482904638631
46,930,0.38729833462074176
47,26,0.4082482904638631
47,87,1.0
47,353,0.7071067811865475
47,843,0.5773502691896258
48,198,0.45226701686664544
48,217,0.3779644730092272
48,242,0.4472135954999579
48,280,0.5
48,648,0.4082482904638631
50,20,0.5345224838248487
50,35,0.39223227027636803
50,36,0.5892556509887895
50,41,0.5590169943749475
50,46,0.4082482904638631
50,51,0.5590169943749475
50,52,0.7071067811865475
50,54,0.45226701686664533
